0,58, Self-employed-not incorporated,4,34, Some college but no degree,0, Divorced, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1053.55, MSA to MSA, Same county, Same county, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87458,33, Private,21,35, 11th grade,0, Married-civilian spouse present, Manufacturing-nondurable goods, Precision production craft & repair, White, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,2076.26, MSA to MSA, Different county same state, Different county same state, No, Yes,1, Dominican-Republic, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
87469,36, Private,33,12, Some college but no degree,0, Married-spouse absent, Retail trade, Professional specialty, Asian or Pacific Islander, All other, Male, Children or Armed Forces,0,0,0, Nonfiler, Other Rel 18+ ever marr not in subfamily, Other relative of householder,1858.85, Abroad to MSA, Abroad, Abroad, No, No,0, ?, ?, ?, Foreign born- Not a citizen of U S ,0,2,0,94, - 50000.
87484,28, Private,32,38, High school graduate,0, Married-civilian spouse present, Wholesale trade, Transportation and material moving, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,787.84, MSA to MSA, Different region, Different state in South, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
87496,40, Local government,31,34, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Utilities and sanitary services, Precision production craft & repair, Black, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,4058.35, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87515,28, Private,37,5, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Business and repair services, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1022.83, MSA to MSA, Same county, Same county, No, Yes,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
87541,19, Private,34,26, High school graduate,745, Married-civilian spouse present, Finance insurance and real estate, Adm support including clerical, White, Central or South American, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1331.72, MSA to MSA, Same county, Same county, No, Yes,2, Columbia, Columbia, Columbia, Foreign born- Not a citizen of U S ,2,2,52,94, - 50000.
87562,69, Private,14,39, High school graduate,0, Separated, Manufacturing-durable goods, Transportation and material moving, Black, All other, Female, Children or Armed Forces,2387,0,0, Head of household, Householder, Householder,1344.38, MSA to MSA, Different state same division, Different state in Midwest, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87607,51, Self-employed-incorporated,33,19, High school graduate,0, Married-civilian spouse present, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1667.26, MSA to MSA, Same county, Same county, No, No,6, Ireland, Ireland, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87621,25, Private,37,28, Some college but no degree,0, Married-civilian spouse present, Business and repair services, Protective services, Black, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,6374.93, MSA to MSA, Same county, Same county, No, Yes,5, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87650,40, Private,40,32, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Entertainment, Other service, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,2955.23, MSA to MSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87664,34, Private,29,38, 11th grade,0, Divorced, Transportation, Transportation and material moving, White, All other, Male, Children or Armed Forces,0,880,0, Head of household, Householder, Householder,579.61, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,2,2,48,94, - 50000.
87686,62, Private,35,24, Some college but no degree,0, Divorced, Finance insurance and real estate, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1140.77, MSA to nonMSA, Different county same state, Different county same state, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,38,94, - 50000.
87702,25, Private,14,36, High school graduate,0, Never married, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, Black, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1376.6, NonMSA to nonMSA, Different county same state, Different county same state, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,26,94, - 50000.
87715,39, Local government,4,40, 10th grade,0, Married-civilian spouse present, Construction, Handlers equip cleaners etc , White, Chicano, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1312.71, MSA to MSA, Same county, Same county, No, No,6, Mexico, United-States, United-States, Native- Born in the United States,2,2,40,94, - 50000.
87752,20, Private,29,25, High school graduate,0, Never married, Transportation, Adm support including clerical, White, Central or South American, Male, Children or Armed Forces,0,0,0, Single, Other Rel 18+ never marr not in subfamily, Other relative of householder,2588.8, MSA to MSA, Same county, Same county, No, No,2, Nicaragua, Nicaragua, Nicaragua, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
87770,24, Private,33,19, 11th grade,0, Divorced, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1902.31, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87774,35, Private,29,38, Some college but no degree,0, Married-civilian spouse present, Transportation, Transportation and material moving, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,3730.22, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
87786,37, Private,45,31, Bachelors degree(BA AB BS),1000, Divorced, Other professional services, Other service, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,3437.04, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87798,22, Private,38,33, Some college but no degree,0, Married-civilian spouse present, Business and repair services, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2242.84, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87803,33, Private,35,17, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Finance insurance and real estate, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,2745.0, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87820,25, Private,42,30, High school graduate,0, Never married, Medical except hospital, Other service, Black, Central or South American, Female, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1129.9, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87839,39, Private,40,2, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Entertainment, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1948.66, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87866,33, Federal government,49,3, High school graduate,0, Never married, Public administration, Executive admin and managerial, White, Mexican-American, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1137.86, Abroad to MSA, Abroad, Abroad, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87902,35, Private,33,26, 7th and 8th grade,0, Married-spouse absent, Retail trade, Adm support including clerical, White, Central or South American, Male, Children or Armed Forces,0,0,0, Nonfiler, Secondary individual, Nonrelative of householder,1493.52, Abroad to MSA, Abroad, Abroad, No, No,0, Dominican-Republic, Dominican-Republic, Dominican-Republic, Foreign born- Not a citizen of U S ,0,2,0,94, - 50000.
87933,41, Private,41,8, Bachelors degree(BA AB BS),1810, Married-civilian spouse present, Hospital services, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,25, Joint both under 65, Spouse of householder, Spouse of householder,1717.65, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
87964,20, Private,33,19, High school graduate,550, Separated, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Child 18+ ever marr RP of subfamily, Child 18 or older,3512.8, MSA to MSA, Same county, Same county, No, Yes,1, United-States, ?, United-States, Native- Born in the United States,0,2,22,94, - 50000.
87971,25, Private,33,19, Bachelors degree(BA AB BS),0, Never married, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,874.98, MSA to MSA, Different state same division, Different state in Northeast, No, No,5, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
87987,54, Local government,41,31, High school graduate,0, Married-civilian spouse present, Hospital services, Other service, Black, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1625.94, MSA to MSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88006,28, Local government,43,19, Some college but no degree,0, Married-civilian spouse present, Education, Sales, White, Mexican-American, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1005.07, MSA to MSA, Same county, Same county, No, Yes,6, United-States, Mexico, United-States, Native- Born in the United States,0,2,28,94, - 50000.
88016,44, Private,17,35, High school graduate,0, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, All other, Female, Children or Armed Forces,0,0,105, Joint both under 65, Spouse of householder, Spouse of householder,4338.24, NonMSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88061,23, Private,33,16, High school graduate,0, Never married, Retail trade, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,4431.94, MSA to MSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88089,42, Private,41,2, Masters degree(MA MS MEng MEd MSW MBA),0, Never married, Hospital services, Executive admin and managerial, White, All other, Female, Children or Armed Forces,14084,0,0, Single, Nonfamily householder, Householder,1520.26, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
88150,28, Private,29,38, High school graduate,805, Divorced, Transportation, Transportation and material moving, Black, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1780.4, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,39,94, - 50000.
88161,31, Local government,47,11, Prof school degree (MD DDS DVM LLB JD),0, Married-civilian spouse present, Public administration, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1896.36, MSA to MSA, Same county, Same county, No, No,5, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88203,22, Private,42,30, High school graduate,0, Never married, Medical except hospital, Other service, Black, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1422.0, NonMSA to MSA, Different county same state, Different county same state, No, Yes,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88224,32, Private,39,3, Some college but no degree,0, Never married, Personal services except private HH, Executive admin and managerial, Black, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1285.1, MSA to MSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,12,94, - 50000.
88262,28, Private,45,14, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Other professional services, Technicians and related support, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,4212.0, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88292,27, Private,33,29, High school graduate,0, Never married, Retail trade, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1710.69, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
88315,60, Self-employed-not incorporated,39,32, High school graduate,0, Separated, Personal services except private HH, Other service, Black, All other, Male, Children or Armed Forces,0,1876,32, Single, Nonfamily householder, Householder,621.28, Abroad to MSA, Abroad, Abroad, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88322,21, Private,30,26, Some college but no degree,0, Never married, Communications, Adm support including clerical, Black, All other, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,1424.23, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88386,18, Private,33,29, Some college but no degree,0, Never married, Retail trade, Other service, White, Mexican-American, Female, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,1674.33, MSA to MSA, Different region, Different state in West, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,16,94, - 50000.
88397,25, Private,37,22, Bachelors degree(BA AB BS),0, Never married, Business and repair services, Adm support including clerical, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2612.14, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88399,24, Private,9,26, Some college but no degree,0, Never married, Manufacturing-durable goods, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2391.37, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,37,94, - 50000.
88423,24, Private,6,36, High school graduate,683, Married-civilian spouse present, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,2467.93, NonMSA to nonMSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88435,31, Private,37,2, Some college but no degree,0, Never married, Business and repair services, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,4735.78, MSA to MSA, Same county, Same county, No, Yes,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88472,35, Private,25,36, 7th and 8th grade,1100, Married-civilian spouse present, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1113.19, MSA to MSA, Same county, Same county, No, Yes,4, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,2,2,52,94, - 50000.
88477,30, Private,34,26, High school graduate,0, Never married, Finance insurance and real estate, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,1974,0, Single, Other Rel 18+ never marr not in subfamily, Other relative of householder,431.89, NonMSA to nonMSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88490,15, Private,25,36, 5th or 6th grade,0, Never married, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, Other, Mexican (Mexicano), Female, Children or Armed Forces,0,0,0, Nonfiler, Secondary individual, Nonrelative of householder,1333.86, MSA to MSA, Different division same region, Different state in West, No, Yes,0, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,0,94, - 50000.
88505,44, Private,43,31, High school graduate,700, Widowed, Education, Other service, Black, All other, Female, Children or Armed Forces,0,0,0, Single, Householder, Householder,1760.87, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88556,29, Local government,44,12, High school graduate,982, Married-civilian spouse present, Social services, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1667.61, MSA to MSA, Same county, Same county, No, No,5, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88591,24, Private,5,42, 10th grade,0, Divorced, Manufacturing-durable goods, Handlers equip cleaners etc , White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,2266.59, NonMSA to nonMSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,31,94, - 50000.
88593,22, Private,33,38, Some college but no degree,0, Never married, Retail trade, Transportation and material moving, White, Mexican-American, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,2039.72, MSA to MSA, Different division same region, Different state in South, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,22,94, - 50000.
88608,34, Private,32,18, Some college but no degree,0, Married-civilian spouse present, Wholesale trade, Sales, White, All other, Male, Children or Armed Forces,0,0,2177, Joint both under 65, Householder, Householder,958.74, MSA to MSA, Same county, Same county, No, No,5, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, 50000+.
88708,42, Private,33,41, 7th and 8th grade,0, Widowed, Retail trade, Handlers equip cleaners etc , White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1880.23, NonMSA to nonMSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,12,94, - 50000.
88717,31, Private,14,25, 12th grade no diploma,0, Married-civilian spouse present, Manufacturing-durable goods, Adm support including clerical, Other, Mexican (Mexicano), Female, Children or Armed Forces,0,0,0, Joint both under 65, Other Rel 18+ spouse of subfamily RP, Other relative of householder,901.8, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88724,36, Private,4,34, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Child 18+ ever marr RP of subfamily, Child 18 or older,1730.74, NonMSA to MSA, Different region, Different state in West, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88726,24, Private,33,19, Associates degree-academic program,0, Never married, Retail trade, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,4575.78, MSA to MSA, Different state same division, Different state in West, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,47,94, - 50000.
88777,34, Private,38,33, 9th grade,0, Married-civilian spouse present, Business and repair services, Precision production craft & repair, White, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,3533.76, MSA to MSA, Same county, Same county, No, Yes,3, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,26,94, - 50000.
88813,21, Private,33,33, High school graduate,0, Never married, Retail trade, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Single, RP of unrelated subfamily, Nonrelative of householder,2940.75, NonMSA to nonMSA, Different region, Different state in Midwest, No, No,1, United-States, United-States, United-States, Native- Born in the United States,1,2,52,94, - 50000.
88850,17, Private,33,29, 11th grade,0, Never married, Retail trade, Other service, Black, All other, Male, Children or Armed Forces,0,0,0, Single, Child <18 never marr not in subfamily, Child under 18 never married,1499.11, Abroad to MSA, Abroad, Abroad, No, No,6, Haiti, Haiti, Haiti, Foreign born- Not a citizen of U S ,0,2,15,94, - 50000.
88862,38, Private,21,36, 11th grade,0, Divorced, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, Black, All other, Female, Children or Armed Forces,0,0,1200, Head of household, Householder, Householder,1544.29, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88891,23, Private,33,16, Some college but no degree,0, Never married, Retail trade, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,369.13, MSA to MSA, Different state same division, Different state in Midwest, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88924,23, Private,9,36, 12th grade no diploma,0, Married-civilian spouse present, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, Other, Central or South American, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,464.64, MSA to MSA, Same county, Same county, No, No,4, Guatemala, Ecuador, Ecuador, Foreign born- U S citizen by naturalization,0,2,48,94, - 50000.
88928,25, Private,39,32, Associates degree-occup /vocational,0, Married-civilian spouse present, Personal services except private HH, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1952.9, MSA to MSA, Different county same state, Different county same state, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88947,35, Private,35,5, Bachelors degree(BA AB BS),0, Never married, Finance insurance and real estate, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,1, Single, Nonfamily householder, Householder,2078.73, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
88949,20, Local government,41,30, Some college but no degree,848, Never married, Hospital services, Other service, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1864.76, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
88999,38, Local government,47,28, Some college but no degree,0, Married-civilian spouse present, Public administration, Protective services, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,656.56, NonMSA to nonMSA, Same county, Same county, No, No,3, United-States, Canada, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89017,41, Private,38,33, Some college but no degree,0, Married-civilian spouse present, Business and repair services, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1260.52, MSA to MSA, Same county, Same county, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
89024,29, Local government,43,10, Masters degree(MA MS MEng MEd MSW MBA),0, Never married, Education, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2858.13, MSA to MSA, Different county same state, Different county same state, No, No,2, United-States, United-States, United-States, Native- Born in the United States,2,2,48,94, - 50000.
89043,47, Private,36,27, High school graduate,0, Divorced, Private household services, Private household services, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,3384.92, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,22,94, - 50000.
89089,27, Private,34,5, Bachelors degree(BA AB BS),0, Never married, Finance insurance and real estate, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,4070.86, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89105,16, Private,33,19, 9th grade,0, Never married, Retail trade, Sales, Other, Central or South American, Female, Children or Armed Forces,0,0,0, Single, Child <18 never marr not in subfamily, Child under 18 never married,1600.13, MSA to MSA, Same county, Same county, No, Yes,6, El-Salvador, El-Salvador, El-Salvador, Foreign born- Not a citizen of U S ,0,2,12,94, - 50000.
89128,20, Private,33,19, Some college but no degree,0, Never married, Retail trade, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,580.49, Not identifiable, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
89149,29, Private,11,38, High school graduate,740, Never married, Manufacturing-durable goods, Transportation and material moving, White, All other, Male, Children or Armed Forces,0,2339,0, Single, Nonfamily householder, Householder,2432.73, NonMSA to nonMSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
89183,29, Self-employed-not incorporated,1,44, Less than 1st grade,0, Never married, Agriculture, Farming forestry and fishing, White, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Nonfiler, Householder, Householder,876.44, Abroad to MSA, Abroad, Abroad, No, No,1, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,4,94, - 50000.
89206,31, Private,15,14, Associates degree-academic program,1320, Never married, Manufacturing-durable goods, Technicians and related support, Asian or Pacific Islander, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1476.64, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89247,29, Private,4,34, Bachelors degree(BA AB BS),0, Never married, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1990.73, MSA to nonMSA, Different division same region, Different state in South, No, No,6, Trinadad&Tobago, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89266,31, Private,34,17, Some college but no degree,0, Married-civilian spouse present, Finance insurance and real estate, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,3488.13, MSA to MSA, Different state same division, Different state in West, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89280,29, Self-employed-not incorporated,35,2, Bachelors degree(BA AB BS),0, Never married, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Single, Other Rel 18+ never marr not in subfamily, Other relative of householder,2652.87, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89310,30, Private,32,26, High school graduate,0, Married-civilian spouse present, Wholesale trade, Adm support including clerical, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1722.59, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89323,23, Private,33,41, High school graduate,0, Married-civilian spouse present, Retail trade, Handlers equip cleaners etc , White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1308.01, Not identifiable, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
89330,27, Private,35,3, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2213.33, MSA to MSA, Different county same state, Different county same state, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89359,26, Private,45,14, High school graduate,0, Never married, Other professional services, Technicians and related support, White, All other, Male, Children or Armed Forces,0,0,0, Single, Other Rel 18+ never marr not in subfamily, Other relative of householder,4287.13, MSA to MSA, Same county, Same county, No, Yes,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89374,32, Private,34,21, High school graduate,0, Married-civilian spouse present, Finance insurance and real estate, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2865.09, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
89383,25, Private,24,12, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Manufacturing-nondurable goods, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,613.66, NonMSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,48,94, - 50000.
89407,39, State government,43,2, Masters degree(MA MS MEng MEd MSW MBA),0, Married-civilian spouse present, Education, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2380.27, NonMSA to MSA, Different division same region, Different state in West, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
